graph_family,graph_seed,n,m,mean_degree,budget_mode,budget_value,projection_type,method,amplitude_sigma,amplitude_label,omega_mode,restart_seed,support_source,T_adapt,T_static,adaptive_updates,projection_calls,ode_nfev,runtime_sec,cvxpy_time_sec,cvxpy_calls,cut_raw,cut_rounded,cut_polished,sdp_bound,gw_cut,exact_optimum,exact_status,cut_ratio_exact,active_edges,mean_active_degree,max_active_degree,row_sum_mean,row_sum_max,budget_violation_max,symmetry_error,energy_descent_violations,energy_violations_raw,final_L,L_valid
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,topology_scrambled,0.0,ideal,zero,2,graph,50.0,50.0,100,101,4544,24.585506439208984,22.509352922439575,101,1563.0,1563.0,1813.0,0.0,0.0,,timeout,0.0,1609,16.09,28,14.894999999999756,14.895000000000003,3.552713678800501e-15,0.0,0,0,-1412.348296015503,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,sinkhorn,hebbian_sinkhorn,0.0,ideal,zero,0,graph,50.0,50.0,100,100,4652,2.3610997200012207,0.0,0,1728.0,1728.0,1811.0,0.0,0.0,,timeout,0.0,1728,17.28,26,14.428035882928468,14.895000000000001,1.7763568394002505e-15,0.0,0,0,-1379.1999776753162,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,sinkhorn,hebbian_sinkhorn,0.0,ideal,zero,1,graph,50.0,50.0,100,100,4664,4.826321601867676,0.0,0,1739.0,1739.0,1813.0,0.0,0.0,,timeout,0.0,1739,17.39,26,14.381386695761499,14.895000000000001,1.7763568394002505e-15,0.0,0,0,-1374.7475059127687,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,sinkhorn,hebbian_sinkhorn,0.0,ideal,zero,2,graph,50.0,50.0,100,100,4604,2.3070688247680664,0.0,0,1715.0,1715.0,1791.0,0.0,0.0,,timeout,0.0,1715,17.15,25,14.220113164795753,14.895000000000003,3.552713678800501e-15,0.0,0,0,-1359.796832481915,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,sinkhorn,hybrid_sinkhorn,0.0,ideal,zero,0,graph,50.0,50.0,100,100,7390,3.2806878089904785,0.0,0,1728.0,1728.0,1811.0,0.0,0.0,,timeout,0.0,1728,17.28,26,14.428035882928468,14.895000000000001,1.7763568394002505e-15,0.0,0,0,-1379.1999776753162,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,sinkhorn,hybrid_sinkhorn,0.0,ideal,zero,1,graph,50.0,50.0,100,100,7426,3.262775421142578,0.0,0,1739.0,1739.0,1813.0,0.0,0.0,,timeout,0.0,1739,17.39,26,14.381386695761499,14.895000000000001,1.7763568394002505e-15,0.0,0,0,-1374.7475059127687,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,sinkhorn,hybrid_sinkhorn,0.0,ideal,zero,2,graph,50.0,50.0,100,100,7318,3.255591869354248,0.0,0,1715.0,1715.0,1791.0,0.0,0.0,,timeout,0.0,1715,17.15,25,14.220113164795753,14.895000000000003,3.552713678800501e-15,0.0,0,0,-1359.796832481915,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,frobenius,hebbian_frobenius,0.0,ideal,zero,0,graph,50.0,50.0,100,101,4664,10.468801975250244,8.639556646347046,101,1719.0,1719.0,1812.0,0.0,0.0,,timeout,0.0,1719,17.19,25,14.894999999998591,14.895000000000003,3.552713678800501e-15,0.0,0,0,-1419.5936368302514,True
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,frobenius,hebbian_frobenius,0.0,ideal,zero,1,graph,50.0,50.0,100,101,4688,30.460862636566162,28.61781072616577,101,1729.0,1729.0,1826.0,0.0,0.0,,timeout,0.0,1729,17.29,27,14.894999999999333,14.895000000000152,1.5276668818842154e-13,0.0,0,0,-1419.4313266552122,True
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,frobenius,hebbian_frobenius,0.0,ideal,zero,2,graph,50.0,50.0,100,101,4748,22.697800397872925,20.807246923446655,101,1703.0,1703.0,1834.0,0.0,0.0,,timeout,0.0,1703,17.03,26,14.894999999999772,14.895000000000001,1.7763568394002505e-15,0.0,0,0,-1419.4348987932858,True
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,frobenius,hybrid_frobenius,0.0,ideal,zero,0,graph,50.0,50.0,100,101,7522,11.183742761611938,8.375373125076294,101,1719.0,1719.0,1812.0,0.0,0.0,,timeout,0.0,1719,17.19,25,14.894999999998591,14.895000000000003,3.552713678800501e-15,0.0,0,0,-1419.5936368302514,True
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,frobenius,hybrid_frobenius,0.0,ideal,zero,1,graph,50.0,50.0,100,101,7534,31.7963969707489,28.929717302322388,101,1729.0,1729.0,1826.0,0.0,0.0,,timeout,0.0,1729,17.29,27,14.894999999999333,14.895000000000152,1.5276668818842154e-13,0.0,0,0,-1419.4313266552122,True
