sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
1.0,oracle_compensation,0,7,655.0,685.0,731.0,1.0,-1.0,1.3969905376434326,0.9845117845117846
1.0,static_budgeted,0,8,686.0,698.0,735.0,0.0,0.0,3.3014938831329346,0.98989898989899
1.0,random_budgeted,0,8,677.0,699.0,746.0,0.0,0.0,3.6124091148376465,1.0047138047138047
1.0,hebbian_frobenius,0,8,632.0,642.0,699.0,0.2511390581514362,-0.06825457941500224,87.89110469818115,0.9414141414141414
1.0,hybrid_frobenius,0,8,632.0,636.0,711.0,0.2511390581514362,-0.06825457941500224,89.83016657829285,0.9575757575757575
1.0,oracle_compensation,0,8,670.0,674.0,723.0,1.0,-1.0,1.2991409301757812,0.9737373737373738
1.0,static_budgeted,0,9,668.0,682.0,732.0,0.0,0.0,4.804949522018433,0.9858585858585859
1.0,random_budgeted,0,9,687.0,698.0,755.0,0.0,0.0,3.6912734508514404,1.0168350168350169
1.0,hebbian_frobenius,0,9,636.0,648.0,729.0,0.0044020095328245554,-0.07781592369455627,72.4852364063263,0.9818181818181818
1.0,hybrid_frobenius,0,9,636.0,648.0,729.0,0.0044020095328245554,-0.07781592369455627,74.7728943824768,0.9818181818181818
1.0,oracle_compensation,0,9,653.0,701.0,752.0,1.0,-1.0,1.4343059062957764,1.0127946127946128
0.0,static_budgeted,1,0,686.0,701.0,709.0,0.0,0.0,0.6123685836791992,0.9931362935985433
0.0,random_budgeted,1,0,695.0,704.0,713.0,0.0,0.0,0.6116304397583008,0.9987393192323856
0.0,hebbian_frobenius,1,0,624.0,624.0,687.0,,,17.818010568618774,0.9623196526124107
0.0,hybrid_frobenius,1,0,624.0,624.0,687.0,,,18.55526638031006,0.9623196526124107
0.0,oracle_compensation,1,0,716.0,716.0,721.0,1.0,-1.0,0.9810988903045654,1.00994537050007
0.0,static_budgeted,1,1,677.0,685.0,698.0,0.0,0.0,0.6061298847198486,0.977727973105477
0.0,random_budgeted,1,1,701.0,706.0,717.0,0.0,0.0,0.5592553615570068,1.0043423448662279
0.0,hebbian_frobenius,1,1,655.0,657.0,705.0,,,93.18702816963196,0.987533267964701
0.0,hybrid_frobenius,1,1,655.0,657.0,701.0,,,91.52545666694641,0.9819302423308587
0.0,oracle_compensation,1,1,709.0,720.0,724.0,1.0,-1.0,0.910149097442627,1.0141476397254519
0.0,static_budgeted,1,2,680.0,716.0,731.0,0.0,0.0,0.5984766483306885,1.0239529345846758
0.0,random_budgeted,1,2,699.0,713.0,723.0,0.0,0.0,0.5087528228759766,1.0127468833169913
0.0,hebbian_frobenius,1,2,628.0,629.0,700.0,,,50.11212110519409,0.9805294859223981
0.0,hybrid_frobenius,1,2,628.0,629.0,700.0,,,51.637052059173584,0.9805294859223981
0.0,oracle_compensation,1,2,714.0,726.0,729.0,1.0,-1.0,0.9070050716400146,1.0211514217677546
0.0,static_budgeted,1,3,678.0,696.0,722.0,0.0,0.0,0.6235933303833008,1.0113461269085307
0.0,random_budgeted,1,3,713.0,713.0,724.0,0.0,0.0,0.5446915626525879,1.0141476397254519
0.0,hebbian_frobenius,1,3,632.0,633.0,684.0,8.46614119820555e-17,,70.65614628791809,0.958117383387029
0.0,hybrid_frobenius,1,3,632.0,634.0,684.0,8.46614119820555e-17,,73.92829513549805,0.958117383387029
0.0,oracle_compensation,1,3,718.0,722.0,730.0,1.0,-1.0,1.0750763416290283,1.0225521781762152
0.0,static_budgeted,1,4,670.0,689.0,710.0,0.0,0.0,0.6237587928771973,0.9945370500070038
0.0,random_budgeted,1,4,691.0,725.0,734.0,0.0,0.0,0.50115966796875,1.0281552038100574
0.0,hebbian_frobenius,1,4,604.0,604.0,694.0,-1.9290398357912325e-16,,68.51065063476562,0.9721249474716347
