sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
1.0,hebbian_frobenius,0,7,619.0,619.0,729.0,0.1094600556449837,-0.12479984754582932,45.85469317436218,0.9818181818181818
1.0,hybrid_frobenius,0,7,619.0,619.0,729.0,0.1094600556449837,-0.12479984754582932,50.418460845947266,0.9818181818181818
1.0,oracle_compensation,0,7,655.0,687.0,731.0,1.0,-1.0,1.393019437789917,0.9845117845117846
1.0,static_budgeted,0,8,686.0,698.0,735.0,0.0,0.0,3.266101837158203,0.98989898989899
1.0,hebbian_frobenius,0,8,632.0,642.0,711.0,0.2511390581514362,-0.06825457941500224,85.58329272270203,0.9575757575757575
1.0,hybrid_frobenius,0,8,632.0,643.0,706.0,0.2511390581514362,-0.06825457941500224,86.71286129951477,0.9508417508417508
1.0,oracle_compensation,0,8,670.0,671.0,722.0,1.0,-1.0,1.1985244750976562,0.9723905723905724
1.0,static_budgeted,0,9,668.0,682.0,732.0,0.0,0.0,4.790180444717407,0.9858585858585859
1.0,hebbian_frobenius,0,9,636.0,648.0,729.0,0.0044020095328245554,-0.07781592369455627,67.92421412467957,0.9818181818181818
1.0,hybrid_frobenius,0,9,636.0,648.0,729.0,0.0044020095328245554,-0.07781592369455627,71.53183698654175,0.9818181818181818
1.0,oracle_compensation,0,9,653.0,701.0,752.0,1.0,-1.0,1.4474539756774902,1.0127946127946128
0.0,static_budgeted,1,0,686.0,701.0,709.0,0.0,0.0,0.5904574394226074,0.9931362935985433
0.0,hebbian_frobenius,1,0,624.0,624.0,687.0,,,17.326355695724487,0.9623196526124107
0.0,hybrid_frobenius,1,0,624.0,624.0,687.0,,,16.556551933288574,0.9623196526124107
0.0,oracle_compensation,1,0,716.0,722.0,729.0,1.0,-1.0,0.984166145324707,1.0211514217677546
0.0,static_budgeted,1,1,677.0,685.0,698.0,0.0,0.0,0.5648670196533203,0.977727973105477
0.0,hebbian_frobenius,1,1,655.0,661.0,703.0,,,87.71857070922852,0.9847317551477799
0.0,hybrid_frobenius,1,1,655.0,659.0,706.0,,,89.67786860466003,0.9889340243731616
0.0,oracle_compensation,1,1,709.0,720.0,724.0,1.0,-1.0,0.9678497314453125,1.0141476397254519
0.0,static_budgeted,1,2,680.0,716.0,731.0,0.0,0.0,0.6329941749572754,1.0239529345846758
0.0,hebbian_frobenius,1,2,628.0,629.0,700.0,,,49.12549877166748,0.9805294859223981
0.0,hybrid_frobenius,1,2,628.0,629.0,700.0,,,48.00976228713989,0.9805294859223981
0.0,oracle_compensation,1,2,714.0,724.0,730.0,1.0,-1.0,0.9126081466674805,1.0225521781762152
0.0,static_budgeted,1,3,678.0,696.0,722.0,0.0,0.0,0.6187982559204102,1.0113461269085307
0.0,hebbian_frobenius,1,3,632.0,634.0,684.0,8.46614119820555e-17,,66.96007537841797,0.958117383387029
0.0,hybrid_frobenius,1,3,632.0,633.0,684.0,8.46614119820555e-17,,68.44679188728333,0.958117383387029
0.0,oracle_compensation,1,3,718.0,722.0,730.0,1.0,-1.0,1.0522105693817139,1.0225521781762152
0.0,static_budgeted,1,4,670.0,689.0,710.0,0.0,0.0,0.6468918323516846,0.9945370500070038
0.0,hebbian_frobenius,1,4,604.0,604.0,694.0,-1.9290398357912325e-16,,67.21321725845337,0.9721249474716347
0.0,hybrid_frobenius,1,4,604.0,604.0,694.0,-1.9290398357912325e-16,,65.95723462104797,0.9721249474716347
0.0,oracle_compensation,1,4,719.0,728.0,735.0,1.0,-1.0,0.9287798404693604,1.029555960218518
0.0,static_budgeted,1,5,673.0,695.0,727.0,0.0,0.0,0.6593537330627441,1.0183499089508334
0.0,hebbian_frobenius,1,5,648.0,648.0,708.0,,,91.40764713287354,0.9917355371900827
0.0,hybrid_frobenius,1,5,648.0,648.0,708.0,,,91.61523270606995,0.9917355371900827
0.0,oracle_compensation,1,5,700.0,721.0,728.0,1.0,-1.0,1.0563230514526367,1.019750665359294
0.0,static_budgeted,1,6,682.0,692.0,715.0,0.0,0.0,0.6342930793762207,1.0015408320493067
0.0,hebbian_frobenius,1,6,659.0,660.0,707.0,,,89.37254881858826,0.9903347807816221
0.0,hybrid_frobenius,1,6,659.0,660.0,707.0,,,86.31777858734131,0.9903347807816221
0.0,oracle_compensation,1,6,701.0,727.0,731.0,1.0,-1.0,0.9021763801574707,1.0239529345846758
0.0,static_budgeted,1,7,694.0,695.0,711.0,0.0,0.0,0.7401313781738281,0.9959378064154644
0.0,hebbian_frobenius,1,7,637.0,637.0,700.0,1.575606770976231e-16,,74.63942670822144,0.9805294859223981
0.0,hybrid_frobenius,1,7,637.0,637.0,700.0,1.575606770976231e-16,,76.31668019294739,0.9805294859223981
0.0,oracle_compensation,1,7,720.0,729.0,733.0,1.0,-1.0,1.037843942642212,1.0267544474015968
0.0,static_budgeted,1,8,684.0,697.0,706.0,0.0,0.0,0.6132149696350098,0.9889340243731616
0.0,hebbian_frobenius,1,8,658.0,658.0,700.0,3.4295270440370322e-18,,26.49451994895935,0.9805294859223981
0.0,hybrid_frobenius,1,8,658.0,658.0,700.0,3.4295270440370322e-18,,27.238590717315674,0.9805294859223981
0.0,oracle_compensation,1,8,688.0,723.0,727.0,1.0,-1.0,1.0911426544189453,1.0183499089508334
0.0,static_budgeted,1,9,658.0,689.0,710.0,0.0,0.0,0.6391568183898926,0.9945370500070038
0.0,hebbian_frobenius,1,9,618.0,632.0,685.0,,,93.44630146026611,0.9595181397954896
0.0,hybrid_frobenius,1,9,616.0,634.0,690.0,,,91.81850481033325,0.9665219218377924
0.0,oracle_compensation,1,9,717.0,720.0,727.0,1.0,-1.0,1.132599115371704,1.0183499089508334
0.25,static_budgeted,1,0,686.0,693.0,719.0,0.0,0.0,0.8135092258453369,1.0071438576831488
0.25,hebbian_frobenius,1,0,620.0,620.0,686.0,0.00543321183447892,-0.002518599025600467,42.80031991004944,0.9609188962039502
0.25,hybrid_frobenius,1,0,620.0,620.0,686.0,0.00543321183447892,-0.002518599025600467,43.13425970077515,0.9609188962039502
0.25,oracle_compensation,1,0,685.0,718.0,726.0,1.0,-1.0,1.0610270500183105,1.0169491525423728
0.25,static_budgeted,1,1,678.0,691.0,717.0,0.0,0.0,0.8085587024688721,1.0043423448662279
0.25,hebbian_frobenius,1,1,639.0,650.0,701.0,0.13243575749513017,-0.10384798488205435,75.35106444358826,0.9819302423308587
0.25,hybrid_frobenius,1,1,639.0,650.0,701.0,0.13243575749513017,-0.10384798488205435,75.40208458900452,0.9819302423308587
0.25,oracle_compensation,1,1,705.0,715.0,720.0,1.0,-1.0,0.962435245513916,1.0085446140916094
0.25,static_budgeted,1,2,685.0,705.0,728.0,0.0,0.0,0.8333468437194824,1.019750665359294
0.25,hebbian_frobenius,1,2,627.0,627.0,708.0,0.0784443705598285,-0.0960209273779625,29.04385209083557,0.9917355371900827
0.25,hybrid_frobenius,1,2,627.0,627.0,708.0,0.0784443705598285,-0.0960209273779625,29.407523155212402,0.9917355371900827
0.25,oracle_compensation,1,2,724.0,724.0,729.0,1.0,-1.0,0.9655261039733887,1.0211514217677546
0.25,static_budgeted,1,3,673.0,685.0,707.0,0.0,0.0,0.8667967319488525,0.9903347807816221
0.25,hebbian_frobenius,1,3,654.0,654.0,709.0,0.1233789912757304,-0.12128695614032056,27.213780403137207,0.9931362935985433
0.25,hybrid_frobenius,1,3,654.0,654.0,709.0,0.1233789912757304,-0.12128695614032056,28.972373485565186,0.9931362935985433
0.25,oracle_compensation,1,3,726.0,726.0,728.0,1.0,-1.0,1.1851129531860352,1.019750665359294
0.25,static_budgeted,1,4,674.0,697.0,720.0,0.0,0.0,0.7696309089660645,1.0085446140916094
0.25,hebbian_frobenius,1,4,623.0,623.0,696.0,-0.030226629240698483,0.03361611768582012,89.94536900520325,0.9749264602885559
0.25,hybrid_frobenius,1,4,623.0,623.0,696.0,-0.030226629240698483,0.03361611768582012,89.08271193504333,0.9749264602885559
0.25,oracle_compensation,1,4,709.0,721.0,728.0,1.0,-1.0,1.069462776184082,1.019750665359294
0.25,static_budgeted,1,5,682.0,697.0,718.0,0.0,0.0,0.6549856662750244,1.0057431012746885
0.25,hebbian_frobenius,1,5,652.0,652.0,696.0,0.08799583620733097,-0.10210507298446281,74.64370489120483,0.9749264602885559
0.25,hybrid_frobenius,1,5,652.0,652.0,696.0,0.08799583620733097,-0.10210507298446281,76.76348662376404,0.9749264602885559
0.25,oracle_compensation,1,5,685.0,718.0,722.0,1.0,-1.0,1.2052879333496094,1.0113461269085307
0.25,static_budgeted,1,6,690.0,699.0,719.0,0.0,0.0,0.711357593536377,1.0071438576831488
0.25,hebbian_frobenius,1,6,639.0,639.0,707.0,0.08238452765765208,-0.06823967803669645,34.97580289840698,0.9903347807816221
0.25,hybrid_frobenius,1,6,639.0,639.0,707.0,0.08238452765765208,-0.06823967803669645,35.50890588760376,0.9903347807816221
0.25,oracle_compensation,1,6,694.0,719.0,726.0,1.0,-1.0,1.0685691833496094,1.0169491525423728
0.25,static_budgeted,1,7,694.0,695.0,706.0,0.0,0.0,0.8399984836578369,0.9889340243731616
0.25,hebbian_frobenius,1,7,630.0,630.0,682.0,0.14191214179775674,-0.1637778741709167,27.649646520614624,0.9553158705701079
0.25,hybrid_frobenius,1,7,630.0,630.0,682.0,0.14191214179775674,-0.1637778741709167,28.35598134994507,0.9553158705701079
0.25,oracle_compensation,1,7,714.0,717.0,723.0,1.0,-1.0,1.2158293724060059,1.0127468833169913
0.25,static_budgeted,1,8,682.0,690.0,712.0,0.0,0.0,0.8119754791259766,0.997338562823925
0.25,hebbian_frobenius,1,8,641.0,656.0,709.0,0.01272492037652036,-0.06995955588114236,86.43268013000488,0.9931362935985433
